Index,Gender,Marital status,Age,Education,Income,Occupation,Settlement size
0,0,0,67,2,124670,1,2
1,1,1,22,1,150773,1,2
2,0,0,49,1,89210,0,0
3,0,0,45,1,171565,1,1
4,0,0,53,1,149031,1,1
5,0,0,35,1,144848,0,0
6,0,0,53,1,156495,1,1
7,0,0,35,1,193621,2,1
8,0,1,61,2,151591,0,0
9,0,1,28,1,174646,2,0
10,1,1,25,1,108469,1,0
11,1,1,24,1,127596,1,0
12,1,1,22,1,108687,1,2
13,0,0,60,2,89374,0,0
14,1,1,28,1,102899,1,1
15,1,1,32,1,88428,0,0
16,0,0,53,1,125550,1,0
17,0,0,25,0,157434,1,2
18,1,1,44,2,261952,2,2
19,0,0,31,0,144657,1,1
20,0,0,48,1,118777,1,1
21,0,0,44,1,147511,1,1
22,0,0,48,1,89804,0,0
23,0,0,44,1,134918,1,2
24,0,1,26,1,103667,1,2
25,0,0,36,1,71909,0,0
26,0,1,39,1,68264,0,0
27,1,1,42,2,163025,1,1
28,0,0,34,1,119307,1,1
29,0,0,63,2,175882,1,0
30,0,1,36,1,159646,1,1
31,0,0,27,0,120131,1,1
32,0,0,30,0,162745,1,2
33,0,0,57,2,87605,0,0
34,1,1,33,1,155569,2,1
35,0,0,25,0,104505,0,0
36,0,0,31,0,143385,1,2
37,0,0,37,1,127676,1,1
38,0,0,37,1,119276,1,1
39,0,0,24,0,92542,1,1
40,0,0,30,0,163329,2,1
41,0,1,26,1,130921,1,0
42,0,0,44,1,133658,0,0
43,0,1,24,1,155104,1,1
44,1,1,58,2,142335,0,1
45,1,1,35,1,138387,2,1
46,0,0,39,1,140182,1,0
47,1,1,23,1,65421,0,0
48,0,0,39,1,130500,0,0
49,1,1,28,1,122831,1,0
50,0,0,29,0,84531,0,0
51,0,0,30,0,180196,2,2
52,0,0,25,0,92058,1,2
53,0,0,31,0,117158,1,0
54,0,0,57,2,135830,1,1
55,0,0,26,0,58258,0,0
56,0,0,52,1,202575,2,2
57,1,1,31,1,183657,1,1
58,1,1,23,1,152267,2,1
59,1,1,23,1,115240,0,0
60,0,1,27,1,106955,1,2
61,0,0,50,1,123641,1,1
62,0,0,61,2,166410,2,1
63,0,0,25,0,227385,1,2
64,1,1,26,1,118372,1,1
65,0,0,48,1,148115,1,1
66,1,1,29,1,111069,1,0
67,0,1,22,1,139780,1,0
68,0,0,37,1,106978,1,2
69,1,1,25,1,110019,1,2
70,1,1,30,1,169102,1,1
71,0,0,46,1,73703,0,0
72,0,0,51,1,141858,2,2
73,1,1,41,2,135959,0,0
74,0,0,40,1,140888,2,2
75,0,0,66,2,157299,2,2
76,0,0,34,1,125187,1,1
77,0,0,51,1,155486,1,2
78,0,0,39,1,151697,0,0
79,0,1,22,1,126400,1,1
80,1,1,44,2,159246,1,2
81,0,0,47,1,136138,1,1
82,1,1,24,1,84792,0,0
83,1,1,58,2,100210,0,0
84,0,0,52,1,93706,0,0
85,1,1,29,1,133783,2,1
86,1,1,27,1,110064,1,2
87,0,0,47,1,241068,1,1
88,0,0,30,0,149022,2,2
89,0,0,28,0,92973,1,2
90,0,0,56,1,110605,1,1
91,0,0,54,1,116604,1,1
92,1,1,33,1,71070,0,0
93,0,0,20,0,128678,1,1
94,0,0,54,1,165230,1,2
95,0,0,58,2,268340,1,1
96,1,1,61,2,135070,1,1
97,0,0,34,1,134794,1,2
98,0,0,36,1,120153,1,1
99,0,0,36,1,195465,2,2
100,0,1,41,1,93372,0,0
101,0,0,24,0,110446,1,0
102,1,1,24,1,95186,1,1
103,0,0,35,1,115343,1,1
104,0,1,26,1,107276,1,1
105,0,0,39,1,244716,2,2
106,0,0,39,1,183108,2,2
107,0,0,32,0,152876,1,2
108,1,1,30,1,165147,1,0
109,0,1,35,1,140520,1,0
110,0,1,31,1,124203,1,1
111,1,1,23,1,107205,1,1
112,0,0,28,0,121432,0,2
113,1,1,25,1,162445,1,0
114,0,1,35,1,134112,1,1
115,0,0,47,1,131842,1,1
116,1,1,30,1,189896,2,0
117,1,1,27,1,109099,1,2
118,1,1,23,1,153539,1,1
119,0,1,36,1,180495,2,1
120,1,1,25,1,104653,1,2
121,1,1,41,2,166933,2,2
122,0,0,24,0,66118,0,0
123,0,0,63,2,135754,1,0
124,1,1,27,1,116103,1,2
125,0,0,30,0,104293,1,1
126,0,1,40,1,71702,0,0
127,0,0,30,0,99066,1,2
128,0,0,34,1,143979,2,2
129,1,1,29,1,123818,1,0
130,1,1,24,1,176714,1,2
131,0,0,29,0,149249,1,2
132,0,0,27,0,77535,0,0
133,0,0,47,1,116540,1,1
134,1,1,21,1,194728,1,0
135,1,1,38,1,109311,1,2
136,0,0,27,0,204723,1,2
137,0,0,66,2,126003,0,0
138,0,0,35,1,123109,1,1
139,1,1,44,2,108251,0,0
140,0,1,27,1,89908,0,0
141,1,1,30,1,176057,2,1
142,0,0,27,0,144332,2,2
143,0,0,22,0,101185,1,1
144,1,1,23,1,107406,1,2
145,0,0,30,0,140665,1,1
146,1,1,39,2,106461,1,0
147,1,1,51,2,127825,1,0
148,0,0,28,0,133898,1,1
149,0,0,46,1,152383,1,2
150,0,0,42,1,119926,1,0
151,0,0,38,1,108784,1,2
152,0,0,24,0,153286,1,1
153,1,1,29,1,214204,1,2
154,0,0,36,1,208101,2,2
155,1,1,20,1,95355,1,1
156,0,0,48,1,124156,1,1
157,0,1,45,2,72215,0,0
158,0,0,38,1,146529,1,2
159,0,0,34,1,75343,0,0
160,0,0,36,1,129789,1,1
161,1,1,30,1,101153,1,1
162,0,0,36,1,127833,1,2
163,0,0,70,2,224998,2,2
164,0,0,36,1,124445,1,2
165,0,0,32,0,141116,1,1
166,1,1,33,1,104276,1,2
167,1,1,20,1,147687,1,2
168,1,1,25,1,125168,1,1
169,0,1,31,1,115369,1,2
170,0,0,33,1,95445,1,0
171,1,1,26,1,95159,1,1
172,1,1,34,1,153031,2,2
173,0,0,33,1,108899,1,0
174,0,0,26,0,113515,1,1
175,1,1,53,2,211229,2,0
176,0,1,42,2,121307,1,0
177,0,0,52,1,131727,1,2
178,0,0,31,0,133574,2,1
179,0,0,65,2,117334,1,0
180,0,1,28,1,177291,1,2
181,0,1,30,1,168763,2,1
182,0,0,40,1,77720,0,0
183,0,0,50,1,176645,1,2
184,0,0,36,1,106205,1,1
185,0,0,31,0,97785,1,1
186,1,1,74,3,214364,2,1
187,0,0,68,2,74525,0,0
188,0,1,20,1,98988,1,0
189,1,1,33,1,133561,1,1
190,0,0,54,1,217651,2,2
191,0,0,34,1,116525,0,0
192,0,0,36,1,135302,1,2
193,0,1,29,1,106434,1,1
194,0,0,21,0,128350,1,2
195,1,1,34,1,147626,2,2
196,1,1,28,1,102697,1,0
197,1,1,27,1,120262,1,0
198,0,0,36,1,124214,1,2
199,0,1,40,1,175223,2,1
200,0,0,52,1,137467,1,0
201,0,1,27,1,65815,0,0
202,0,0,26,0,129864,1,1
203,0,1,21,1,88475,1,1
204,0,0,38,1,74666,0,0
205,0,0,38,1,222294,2,2
206,0,0,43,1,112878,1,0
207,0,0,26,0,103411,1,2
208,0,1,21,1,112868,0,0
209,0,0,55,1,157940,1,2
210,0,0,33,1,115835,1,2
211,1,1,45,2,109807,0,0
212,0,0,50,1,150699,1,1
213,0,0,66,2,178967,2,0
214,0,0,51,1,132767,1,0
215,1,1,39,2,86152,0,0
216,0,0,31,0,114528,1,2
217,0,0,23,0,133912,1,1
218,0,1,24,1,81210,0,0
219,1,1,64,3,131242,1,0
220,0,1,26,1,68804,0,0
221,1,1,23,1,96961,1,1
222,0,0,30,0,90719,1,2
223,0,0,32,0,114116,1,1
224,0,0,30,0,128639,1,1
225,0,0,27,0,106623,1,1
226,0,0,27,0,236264,1,1
227,0,0,53,1,207783,2,1
228,0,0,22,0,91739,1,1
229,0,0,22,0,107780,1,2
230,0,0,26,0,139157,1,2
231,0,0,51,1,121751,0,0
232,0,0,35,1,121974,1,0
233,0,1,25,1,70320,0,0
234,0,0,42,1,78327,0,0
235,0,0,30,0,131433,2,0
236,0,0,23,0,167076,0,2
237,0,1,61,2,130788,0,0
238,1,1,35,1,107408,1,1
239,0,0,39,1,115323,1,1
240,1,1,29,1,99012,1,0
241,0,0,51,1,115996,1,1
242,0,0,24,0,123353,1,1
243,1,1,27,1,100008,1,0
244,1,1,35,1,125105,0,0
245,0,0,25,0,92020,1,2
246,0,0,52,1,108365,1,2
247,0,0,35,1,112979,1,0
248,0,0,26,0,117221,1,1
249,1,1,22,1,88800,1,2
250,1,1,39,2,115099,0,0
251,1,1,46,2,113399,0,0
252,1,1,24,1,115879,1,1
253,0,0,35,1,141270,1,2
254,0,0,24,0,107633,1,1
255,0,0,27,0,131751,0,0
256,0,0,35,1,83687,0,0
257,0,1,29,1,106828,1,2
258,1,1,23,1,135537,1,1
259,1,1,57,2,107142,0,0
260,0,0,27,0,97446,1,1
261,1,1,55,2,126357,1,2
262,0,0,36,1,169617,2,1
263,1,1,57,2,108945,0,0
264,0,0,32,0,67345,0,0
265,0,0,37,1,106215,1,0
266,0,0,36,1,149237,1,0
267,1,1,38,1,112124,1,0
268,0,1,45,2,215150,2,2
269,0,0,25,0,89534,1,1
270,0,0,32,0,111082,1,2
271,1,1,37,1,137069,1,1
272,0,0,36,1,244541,2,2
273,0,0,28,0,120712,1,1
274,0,1,34,1,175367,0,0
275,0,0,32,0,111418,1,1
276,1,1,26,1,110913,1,0
277,0,1,49,2,84267,0,0
278,1,1,32,1,136886,1,2
279,0,0,29,0,144884,2,2
280,0,0,23,0,151180,1,1
281,0,0,50,1,114997,1,1
282,0,0,49,1,100961,0,0
283,0,0,63,2,124849,1,2
284,0,1,37,1,152308,1,2
285,1,1,35,1,167945,0,1
286,0,0,26,0,126706,1,2
287,0,0,31,0,210017,2,2
288,1,1,49,2,125665,1,1
289,0,1,48,2,111184,1,1
290,0,1,26,1,94134,1,0
291,0,1,28,1,214620,2,1
292,1,1,44,2,193816,2,1
293,0,0,56,1,168714,1,1
294,0,1,46,2,202997,2,1
295,1,1,26,1,192451,1,2
296,1,1,20,1,127928,1,2
297,0,0,45,1,78253,0,0
298,0,0,43,1,118446,1,1
299,0,0,32,0,161379,1,2
300,1,1,54,2,56622,0,0
301,1,1,42,2,146117,1,1
302,0,0,37,1,90418,0,0
303,0,0,49,1,109053,1,0
304,0,0,44,1,219319,1,0
305,0,1,33,1,144701,1,1
306,1,1,24,1,102425,0,0
307,0,1,33,1,79867,0,0
308,1,1,24,1,107114,1,2
309,0,1,22,1,62263,0,0
310,0,0,40,1,92567,0,0
311,0,0,25,0,146349,1,0
312,1,1,26,1,141825,1,1
313,0,1,25,1,68582,0,0
314,0,0,29,0,85476,0,0
315,0,0,31,0,111091,1,2
316,0,0,38,1,67110,0,0
317,1,1,48,2,126154,0,0
318,0,0,32,0,92257,1,2
319,1,1,27,1,93605,0,0
320,0,1,28,1,165190,2,0
321,0,1,32,1,107195,1,0
322,0,0,34,1,145059,2,0
323,0,0,28,0,148363,1,0
324,1,1,36,1,105681,1,2
325,0,0,39,1,93732,0,0
326,0,0,49,1,154778,1,2
327,1,1,34,1,149356,1,2
328,0,0,31,0,145670,1,1
329,0,0,28,0,101589,1,2
330,0,0,75,2,213333,2,1
331,1,1,30,1,122420,1,0
332,1,1,24,1,209856,2,1
333,1,1,24,1,181003,0,0
334,0,0,23,0,117804,1,1
335,0,1,44,2,160650,2,1
336,1,1,23,1,84611,0,0
337,1,1,24,1,98479,1,2
338,0,0,28,0,122359,1,2
339,0,1,31,1,81394,0,0
340,1,1,24,1,150372,1,1
341,1,1,26,1,92385,0,0
342,0,1,25,1,149851,1,2
343,0,0,33,1,167939,2,1
344,0,0,37,1,115426,0,0
345,1,1,43,2,85402,0,0
346,0,0,23,0,95815,1,2
347,1,1,23,1,97518,0,0
348,0,0,34,1,87355,0,0
349,0,0,32,0,145933,1,1
350,1,1,23,1,97307,1,0
351,1,1,29,1,108434,1,2
352,0,0,38,1,151312,2,1
353,0,0,28,0,141847,1,1
354,0,0,46,1,130675,1,2
355,0,0,23,0,69309,0,0
356,0,0,49,1,121466,1,2
357,0,0,26,0,153586,2,2
358,0,1,28,1,92849,1,0
359,1,1,23,1,108539,1,2
360,0,0,61,2,129556,1,2
361,0,0,37,1,170146,2,0
362,1,1,36,1,135383,1,1
363,0,1,21,1,96769,1,2
364,0,0,25,0,43684,0,0
365,0,0,36,1,103521,1,0
366,0,0,27,0,118499,1,1
367,1,1,22,1,119684,1,2
368,0,0,42,1,126586,1,1
369,1,1,40,2,136812,1,2
370,0,0,36,1,118277,1,1
371,0,0,33,1,144597,1,1
372,1,1,23,1,106043,1,0
373,0,0,63,2,272314,2,2
374,1,1,60,2,309364,2,2
375,1,1,37,1,170386,1,1
376,0,1,34,1,112458,1,0
377,0,0,36,1,96840,1,1
378,0,0,57,2,281923,2,1
379,1,1,52,2,95551,0,0
380,0,0,39,1,112347,1,2
381,1,1,38,1,260977,2,2
382,1,1,25,1,99354,1,0
383,0,0,26,0,111509,1,2
384,0,0,26,0,105252,0,0
385,1,1,25,1,108522,1,0
386,1,1,21,1,94655,1,1
387,0,0,40,1,201699,2,1
388,0,0,27,0,139868,1,2
389,1,1,27,1,102543,1,1
390,0,1,30,1,134467,2,2
391,1,1,19,1,111187,0,0
392,0,0,39,1,152302,2,1
393,1,1,31,1,110610,1,2
394,0,0,31,0,137827,2,2
395,0,0,32,0,220923,1,2
396,1,1,55,2,165717,2,2
397,0,1,46,2,122299,1,0
398,0,1,46,2,120499,1,0
399,1,1,43,2,126449,0,0
400,0,1,39,1,108315,1,2
401,0,1,28,1,112515,1,1
402,0,0,27,0,164559,1,1
403,0,0,27,0,59238,0,0
404,0,0,43,1,131133,1,0
405,0,1,22,1,109188,1,0
406,0,0,43,1,115393,1,1
407,0,1,27,1,94711,1,2
408,0,1,26,1,171860,2,0
409,0,1,28,1,139414,1,2
410,1,1,20,1,110931,1,1
411,0,0,35,1,187549,2,2
412,0,0,42,1,145508,2,0
413,0,0,40,1,104240,0,0
414,1,1,35,1,108272,1,1
415,0,0,35,1,144004,1,2
416,0,0,33,1,81083,0,0
417,1,1,23,1,166763,1,1
418,1,1,31,1,175530,2,1
419,1,1,33,1,112422,1,1
420,1,1,20,1,154134,1,2
421,0,0,30,0,112401,1,1
422,0,0,47,1,85690,0,0
423,0,0,34,1,145896,2,2
424,1,1,25,1,122552,1,2
425,0,1,21,1,115494,1,2
426,0,0,29,0,109467,1,0
427,0,0,46,1,148226,1,2
428,0,0,20,0,88559,1,1
429,1,1,55,2,62393,0,0
430,0,0,74,2,122133,0,0
431,0,0,29,0,230883,2,2
432,0,0,36,1,136689,2,2
433,0,1,33,1,109145,1,0
434,0,0,25,0,100449,1,2
435,0,1,25,1,106253,1,0
436,0,1,23,1,84747,0,0
437,1,1,37,1,149465,1,1
438,0,0,65,2,84435,0,0
439,1,1,26,1,51681,0,0
440,0,0,39,1,139198,2,1
441,1,1,30,1,106577,1,1
442,0,0,29,0,117372,1,2
443,0,0,41,1,69609,0,0
444,1,1,30,1,178947,2,2
445,1,1,41,2,81743,0,0
446,1,1,34,1,111900,1,1
447,0,0,35,1,121650,1,0
448,1,1,55,2,172639,2,2
449,0,1,61,2,175740,1,1
450,0,0,30,0,220050,2,2
451,1,1,29,1,95200,1,1
452,0,0,34,1,113609,1,1
453,0,0,35,1,143552,2,2
454,0,0,31,0,130973,1,2
455,1,1,29,1,145946,2,2
456,0,0,36,1,126206,1,1
457,0,0,35,1,120426,1,0
458,1,1,27,1,91925,1,2
459,0,0,32,0,129630,1,2
460,0,0,37,1,124268,1,2
461,0,0,36,1,105240,1,1
462,1,1,34,1,162180,2,0
463,0,0,38,1,106552,1,2
464,0,0,34,1,105843,1,2
465,0,0,63,2,138327,1,1
466,1,1,29,1,76154,0,0
467,0,0,32,0,155012,1,1
468,1,1,26,1,114369,1,1
469,0,0,35,1,102839,0,0
470,0,1,22,1,132796,1,0
471,1,1,23,1,89742,1,2
472,0,0,28,0,58615,0,0
473,0,0,36,1,130603,2,2
474,0,1,33,1,110340,1,0
475,1,1,26,1,117729,1,2
476,0,0,24,0,130808,1,0
477,0,0,25,0,147402,1,2
478,0,0,39,1,93567,0,0
479,0,0,44,1,109289,1,1
480,1,1,23,1,98742,0,0
481,0,0,26,0,101270,1,0
482,1,1,57,2,187835,1,1
483,1,1,30,1,140741,1,0
484,0,0,44,1,133265,1,2
485,0,0,47,1,148100,2,2
486,0,0,52,1,131021,1,2
487,1,1,62,2,152620,1,2
488,0,0,35,1,85033,0,0
489,0,0,26,0,114514,1,1
490,0,0,26,0,99307,1,1
491,1,1,42,2,219451,2,2
492,1,1,27,1,114007,1,0
493,0,0,38,1,102846,1,0
494,0,0,39,1,81483,0,0
495,0,1,20,1,107779,1,2
496,0,0,29,0,222360,2,2
497,0,0,40,1,107125,1,0
498,0,1,32,1,80080,0,0
499,0,1,28,1,129600,1,0
500,1,1,27,1,118613,1,1
501,0,0,42,1,146237,1,1
502,0,1,49,2,144461,1,2
503,0,0,38,1,124487,1,0
504,1,1,24,1,97826,1,0
505,0,0,27,0,64105,0,0
506,0,0,36,1,156374,1,2
507,0,0,34,1,205383,2,2
508,0,1,28,1,98964,1,2
509,0,0,45,1,221842,2,2
510,0,0,26,0,88027,1,2
511,0,0,32,0,160513,2,2
512,0,0,26,0,124536,1,2
513,0,1,20,1,93634,1,0
514,0,0,54,1,124725,1,0
515,1,1,37,1,102456,1,0
516,0,0,40,1,74975,0,0
517,1,1,23,1,153861,1,1
518,0,0,43,1,119351,1,2
519,0,0,36,1,95438,1,2
520,0,0,44,1,147967,1,2
521,1,1,24,1,116863,1,1
522,0,0,53,1,170622,1,1
523,1,1,23,1,132426,1,1
524,1,1,26,1,77519,0,0
525,0,0,30,0,169405,1,2
526,1,1,31,1,120030,1,0
527,0,0,42,1,77933,0,0
528,0,1,31,1,109892,1,1
529,0,0,41,1,69062,0,0
530,0,0,32,0,116348,1,0
531,1,1,28,1,137188,1,1
532,0,1,41,1,110199,1,0
533,0,1,26,1,109890,1,1
534,0,0,25,0,109751,1,2
535,0,1,33,1,129651,1,1
536,1,1,75,3,170113,2,1
537,1,1,37,1,140285,1,1
538,0,0,42,1,198029,2,2
539,1,1,45,2,120262,0,0
540,0,1,23,1,105137,1,1
541,0,0,60,2,127371,1,0
542,0,0,31,0,145689,1,0
543,0,0,34,1,102617,0,1
544,0,0,61,2,90709,0,0
545,0,0,43,1,107099,1,1
546,1,1,37,1,116021,1,2
547,0,0,32,0,100426,1,2
548,1,1,24,1,62249,0,0
549,0,0,35,1,172957,1,1
550,1,1,23,1,95003,1,1
551,0,0,45,1,109698,0,0
552,0,1,34,1,157376,1,0
553,0,0,27,0,123191,1,2
554,1,1,67,3,171052,2,0
555,0,0,22,0,99328,1,0
556,1,1,28,1,133799,1,2
557,1,1,29,1,138256,1,2
558,0,0,27,0,115638,1,0
559,0,0,31,0,82238,0,0
560,0,0,49,1,127543,1,1
561,0,0,24,0,63987,0,0
562,1,1,29,1,114784,1,0
563,0,0,37,1,217450,1,1
564,0,0,37,1,173751,2,2
565,1,1,23,1,122850,1,0
566,0,1,36,1,104953,1,0
567,0,0,34,1,152371,1,1
568,0,0,41,1,139905,1,0
569,1,1,31,1,156700,1,1
570,1,1,23,1,86488,0,0
571,0,0,38,1,147472,1,0
572,1,1,26,1,169991,2,0
573,1,1,22,1,62381,0,0
574,0,0,27,0,70926,0,0
575,1,1,24,1,113004,1,1
576,1,1,27,1,125760,1,0
577,1,1,33,1,111918,1,2
578,0,1,27,1,120674,1,1
579,0,1,27,1,63597,0,0
580,0,0,30,0,103069,1,1
581,0,0,49,1,108079,0,0
582,1,1,26,1,101159,1,1
583,0,0,33,1,88211,0,0
584,1,1,52,2,159052,2,1
585,1,1,20,1,102623,1,2
586,0,0,36,1,115589,1,0
587,0,0,21,0,59127,0,0
588,0,1,47,2,82240,0,0
589,0,0,60,2,129425,1,1
590,1,1,58,2,87058,0,0
591,1,1,42,2,128462,1,2
592,1,1,36,1,121403,0,0
593,1,1,20,1,88141,0,0
594,0,0,40,1,134946,2,2
595,1,1,32,1,94058,0,0
596,1,1,23,1,99285,1,1
597,0,0,36,1,108432,0,0
598,0,0,31,0,111369,1,0
599,0,0,32,0,122612,1,2
600,1,1,45,2,134350,1,0
601,1,1,30,1,108838,1,2
602,1,1,34,1,90852,0,0
603,1,1,28,1,151580,2,2
604,1,1,23,1,115681,1,1
605,0,0,22,0,131699,1,1
606,0,0,74,2,192481,2,1
607,1,1,50,2,155122,1,2
608,0,0,33,1,106015,1,2
609,0,0,45,1,108378,1,0
610,1,1,22,1,105257,1,1
611,1,1,48,2,118788,0,0
612,1,1,29,1,162955,1,2
613,1,1,22,1,119511,1,2
614,1,1,22,1,102000,1,0
615,0,0,48,1,254449,2,1
616,0,0,27,0,208446,2,2
617,0,0,37,1,124805,1,0
618,1,1,21,1,139379,1,0
619,0,1,49,2,78296,0,0
620,0,0,27,0,125598,1,1
621,0,0,32,0,100215,1,2
622,0,1,38,1,130951,1,2
623,1,1,22,1,102480,1,2
624,0,0,65,2,136812,1,1
625,0,0,35,1,106919,1,1
626,0,0,41,1,131020,1,2
627,0,0,29,0,119429,1,1
628,0,0,36,1,154521,1,1
629,0,0,64,2,117842,0,0
630,1,1,28,1,124566,1,2
631,0,0,44,1,110009,1,2
632,0,0,23,0,101210,1,1
633,1,1,19,1,101258,1,0
634,1,1,25,1,79045,0,0
635,0,0,47,1,110866,1,0
636,1,1,28,1,129640,1,2
637,0,0,21,0,227021,1,1
638,1,1,34,1,108549,1,1
639,0,0,26,0,122693,1,0
640,1,1,27,1,35832,0,0
641,0,0,38,1,81870,0,0
642,0,0,40,1,179790,2,2
643,0,1,33,1,107158,1,1
644,0,1,32,1,136638,2,1
645,0,0,27,0,158147,1,2
646,0,1,32,1,132587,1,2
647,1,1,26,1,128140,1,2
648,0,0,38,1,117405,1,1
649,0,0,40,1,68475,0,0
650,0,0,50,1,201656,2,2
651,0,0,37,1,86967,0,0
652,0,0,45,1,118006,1,1
653,0,0,42,1,223630,2,2
654,0,0,35,1,110442,1,0
655,0,0,22,0,115691,1,2
656,0,0,41,1,80232,0,0
657,0,0,37,1,187647,1,1
658,1,1,28,1,138952,1,1
659,0,0,41,1,162772,1,2
660,0,1,23,1,111862,1,1
661,0,1,23,1,90051,1,1
662,0,0,50,1,121400,1,1
663,0,0,35,1,137000,2,2
664,1,1,50,2,105031,0,0
665,0,0,27,0,172153,2,2
666,0,0,34,1,170184,1,1
667,1,1,27,1,123279,1,1
668,0,0,43,1,140795,1,0
669,0,0,47,1,144456,1,0
670,0,0,27,0,104773,0,0
671,0,0,31,0,153353,1,1
672,0,0,42,1,223018,2,1
673,0,1,24,1,129177,1,2
674,0,0,41,1,114475,0,1
675,1,1,26,1,161323,2,1
676,0,0,33,1,135765,1,2
677,0,1,24,1,158421,1,0
678,0,0,64,2,103941,0,0
